Program,Program Desc,College,College Desc,Level,Level Desc,Department,Department Desc,Degree,Degree Desc,Major,Major Desc,Campus,Campus Desc,Major CIP,Major CIP Desc,Combined Ind,Concentration,Concentration Desc,Eff Term,Eff Term Desc,Admission Ind,Student Ind,Outcome Ind,Eff Status,Program Status
MARCH-ARCH1,MArch Architecture 1 year,AM,"Coll of Arts, Media & Design",GR,Graduate,ARCH,Architecture,MARCH,Master of Architecture,ARCT,Architecture,BOS,Boston,040902,Arch & Building Sci/Tech,,,,201710,Fall 2016 Semester,Y,Y,Y,Current,Active
MARCH-ARCH2,MArch Architecture 2 year,AM,"Coll of Arts, Media & Design",GR,Graduate,ARCH,Architecture,MARCH,Master of Architecture,ARCT,Architecture,BOS,Boston,040902,Arch & Building Sci/Tech,,,,201710,Fall 2016 Semester,Y,Y,Y,Current,Active
MARCH-ARCH3,MArch Architecture 3 year,AM,"Coll of Arts, Media & Design",GR,Graduate,ARCH,Architecture,MARCH,Master of Architecture,ARCT,Architecture,BOS,Boston,040902,Arch & Building Sci/Tech,,,,201710,Fall 2016 Semester,Y,Y,Y,Current,Active
MARCH-ARCH3A,MArch Architecture 3yr Advance,AM,"Coll of Arts, Media & Design",GR,Graduate,ARCH,Architecture,MARCH,Master of Architecture,ARCT,Architecture,BOS,Boston,040902,Arch & Building Sci/Tech,,,,201710,Fall 2016 Semester,Y,Y,Y,Current,Active
MDES-SUEN,MDes Sustain Urban Environment,AM,"Coll of Arts, Media & Design",GR,Graduate,ARCH,Architecture,MDES,Master of Design,SUEN,Sustainable Urban Environments,BOS,Boston,040401,Environmental Design/Arch,,,,201410,Fall 2013 Semester,Y,Y,Y,Current,Active
MDES-SUEN1,MDes Sustain Urban Envrt-1year,AM,"Coll of Arts, Media & Design",GR,Graduate,ARCH,Architecture,MDES,Master of Design,SUEN,Sustainable Urban Environments,BOS,Boston,040401,Environmental Design/Arch,,,,201410,Fall 2013 Semester,Y,Y,Y,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,ARCH,Architecture,ND,Non-Degree,ARCH,Architecture,BOS,Boston,040201,Architecture,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
ND-AM-G,Special Arts and Media GR,AM,"Coll of Arts, Media & Design",GR,Graduate,ARCH,Architecture,ND,Non-Degree,SUEN,Sustainable Urban Environments,BOS,Boston,040401,Environmental Design/Arch,,,,200410,Fall 2003 Semester,Y,Y,N,Current,Active
CERTG-EXPD,CERTG Experience Design,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,CERTG,Graduate Certificate,EXPD,Experience Design,BOS,Boston,500499,Design & Applied Arts,,,,201810,Fall 2017 Semester,Y,Y,Y,Current,Active
CERTG-GMED,CERTG Game Experience Design,AM,"Coll of Arts, Media & Design",GR,Graduate,ARTD,Art and Design,CERTG,Graduate Certificate,GMED,Game Experience Design,BOS,Boston,100304,Animation,,,,202210,Fall 2021 Semester,Y,Y,Y,Current,Active
